event_id,variant,runtime_path,source_path,tags,codec,sampleRateHz,channels,durationMs,sha256
ui.hover.neutral,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_neutral_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/select_001.ogg,ui hover neutral,vorbis,44100,2,43,aec0c31ea934a35936ae0d2ab8fac8123c93aa5647f935853a58dbaf90278b7a
ui.hover.neutral,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_neutral_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/select_002.ogg,ui hover neutral,vorbis,44100,2,43,4cc6ac5341b9b2c86fef80c347de028e9ab9f2e037586ac7d9fa59a403a1c012
ui.hover.neutral,3,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_neutral_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/select_003.ogg,ui hover neutral,vorbis,44100,1,383,9a612fd2f513d52a296906b41071c990f75defe56be3bee60d2d4e2423b51b8b
ui.hover.primary,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_primary_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/rollover1.ogg,ui hover cyber,vorbis,44100,2,227,4eb47e2e1540c44847b47a89825e21335c820a4e54cacf8c4c1eb5100e36af42
ui.hover.primary,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_primary_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/rollover2.ogg,ui hover cyber,vorbis,44100,2,57,d0bc0fcba496d73df1da8c145e5330df75f87ab5a4f33a9b71461b006b5c338e
ui.hover.primary,3,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_hover_primary_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/rollover3.ogg,ui hover cyber,vorbis,44100,2,69,641df2c95468f1f035ff0ae964129da10543b4ea8ff6c13f66bcbd899dcfc113
ui.press.primary,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_press_primary_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/click1.ogg,ui press button,vorbis,44100,2,94,59175ac17cd49a68dd736285738441287636112a84a6f7ce0d89921bda5a5360
ui.press.primary,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_press_primary_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/click2.ogg,ui press button,vorbis,44100,2,56,c394b46bc6737f7f7edfbfa3031ce621b7a43d498d456d6198364eee9cd3e306
ui.press.primary,3,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_press_primary_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/click3.ogg,ui press button,vorbis,44100,2,86,e3e7fc7ccd9c5cfdf77bffa05aee10d4973812076c76dc889ba2b16ea434127f
ui.press.secondary,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_press_secondary_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/click_001.ogg,ui press button,vorbis,44100,1,100,ccfb7fa0cccdd9faec0eb16033c732b1e308d139d80f799161495d58f7adcdb9
ui.press.secondary,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_press_secondary_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/click_002.ogg,ui press button,vorbis,44100,1,10,adcd1f4adc35f1b41bc1b5bbefeff7aa44f2f3f0d96d3199b544140c7c1e761c
ui.back,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_back_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/back_001.ogg,ui back,vorbis,44100,1,64,07db973f79f6ae0f2edc34561e7592e24d0577455919fb602cb8ecc0da991dcf
ui.back,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_back_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/back_002.ogg,ui back,vorbis,44100,1,70,61581c58194e3f19f531072edabbc344204c7e0a2887b8ededce4357bcf09195
ui.close,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_close_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/close_001.ogg,ui close,vorbis,44100,1,148,44af8249b933e0fd35ec957a638bb1a0b01f85b53fbe9674bf77bd3ca3168ef4
ui.close,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_close_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/close_002.ogg,ui close,vorbis,44100,1,314,bc4279d2bb2bf86592473eab6a8eab55e51b54a8619315000dbd780a83b102d8
ui.modal.open,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_modal_open_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/open_001.ogg,ui modal open,vorbis,44100,1,148,a27c6bb0df7da1e6af5dd5937593c98bc58b6e513f42fe6a3254cd6a6949c648
ui.modal.open,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_modal_open_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/open_002.ogg,ui modal open,vorbis,44100,1,314,24ff224fe2c09c6aed1b41249825382dc74cf324b887ff279d8494912ce2beee
ui.modal.close,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_modal_close_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/close_003.ogg,ui modal close,vorbis,44100,1,314,39a1a7f3bc001766c1881841e9903c6b16f5a10b5666e0791d7f6444677d8b05
ui.modal.close,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_modal_close_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/close_004.ogg,ui modal close,vorbis,44100,1,323,41b41e01ac75f4bc5a9c8dc3b0de744fa7f877757463692783c12a8ae4bfae6b
ui.toggle.on,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_toggle_on_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/toggle_001.ogg,ui toggle on,vorbis,44100,1,139,ca1d2dde5f0b286abac4f070e23edab8f30927c8a533665cdf2ac6492a415e49
ui.toggle.on,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_toggle_on_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/toggle_002.ogg,ui toggle on,vorbis,44100,1,139,1f564f5520cfa0764028ce245ad97599d3ece8f0ab504554c403af92ac72b900
ui.toggle.off,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_toggle_off_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/switch_001.ogg,ui toggle off,vorbis,44100,2,618,3b74efad87f1e69dbd1d05c5ad952ab90859b5a3d11da6ec5bd79b4f03b42afa
ui.toggle.off,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_toggle_off_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/switch_002.ogg,ui toggle off,vorbis,44100,2,611,6fc395be2ad1f99ce318a5d28f98fb76dbeb676d83a0b28239d8c1fb90736180
ui.slider.tick,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_slider_tick_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/tick_001.ogg,ui slider tick,vorbis,44100,1,23,9d057b918024c787bbe6c00beed13a7ef72a3fa0c259add3cef36582792f4230
ui.slider.tick,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_slider_tick_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/tick_002.ogg,ui slider tick,vorbis,44100,1,23,869442f54214be902ec7437f79e400dc91c1bfd90d18a6dd2d5b7e41ffbf457b
ui.slider.tick,3,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_slider_tick_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/tick_004.ogg,ui slider tick,vorbis,44100,1,55,0253d5f7d8d2afbbc370eac2a4539bb844239f0c98343e516d376b137c06d27c
ui.notification.success,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_success_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/confirmation_001.ogg,ui notification success,vorbis,44100,1,290,063564703b6094d70718a3e787a55cc9141611e4ecd6b6637f8828f79b4a8c3a
ui.notification.success,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_success_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/GUI_CC0_SFX/GUI_Sound_Effects_by_Lokif/positive.wav,ui notification success,pcm_s16le,44100,2,1719,946a2de4c87dcb6c47edc3564e403944646ee9efa08dea0ce16fe2e78e125e03
ui.notification.warning,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_warning_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/question_001.ogg,ui notification warning,vorbis,44100,1,491,abb8f9e4eb2071491b0b15f84ee302386b1847609310c1b000ae174639a6cc5a
ui.notification.warning,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_warning_v02.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/UI_Feedback_CC0/ui_ogg/alarm.ogg,ui notification warning,vorbis,44100,2,429,2c570ccd930b9fb4564283624dc05b4eafa9352687b7c3af8375215fde03518b
ui.notification.error,1,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_error_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/error_001.ogg,ui notification error,vorbis,44100,2,165,46e67425d16339772e8d328fb36a49426c9467418686e11beeb71ff84b0f6433
ui.notification.error,2,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_error_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/error_002.ogg,ui notification error,vorbis,44100,2,165,76810ec365f41078fd0507101da5bb7b8730fe011dde43908329fdabd8575e79
ui.notification.error,3,01_RUNTIME_READY/audio/ui/bsb_sfx_ui_notification_error_v03.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/GUI_CC0_SFX/GUI_Sound_Effects_by_Lokif/negative.wav,ui notification error,pcm_s16le,44100,2,1719,1b8d94d220905624559a70e2eaca0ec6514a5f536cf58ad411b2906c8180c0ba
bet.increase,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_increase_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/digital-audio/Audio/highUp.ogg,bet increase ui,vorbis,44100,1,549,cbc1c3c7ccf5d7903818144a4c3f5b2ed2385095792f29d8d7c76360ba4fa559
bet.increase,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_increase_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/digital-audio/Audio/twoTone1.ogg,bet increase ui,vorbis,44100,1,724,8732f14d6398407a8f1df77b986c2099cfd88f6583e1272cb60497cb2fe8da1d
bet.decrease,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_decrease_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/digital-audio/Audio/highDown.ogg,bet decrease ui,vorbis,44100,1,522,cdbea353b2e435b4f869c7b045af81079c5d5eb81cfbbc805013ccc3a7a0f36a
bet.decrease,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_decrease_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/digital-audio/Audio/lowDown.ogg,bet decrease ui,vorbis,44100,1,784,e0215fcfd8b9d7877f74d5c46b239a13d7db0d25998da97b80404931ef9eef5d
bet.limit,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_limit_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/GUI_CC0_SFX/GUI_Sound_Effects_by_Lokif/negative_2.wav,bet limit warning,pcm_s16le,44100,2,1719,c9ea598461bd790e1049974a39a9f5cc9dd4a84887549c3c5c256d2abbd4d1a5
bet.limit,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_bet_limit_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/error_003.ogg,bet limit warning,vorbis,44100,2,533,885b28175c7b511118bcffab95675b48bbac9005cf6514656ebdad979276b3ab
balance.debit,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_debit_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/casino-audio/Audio/chip-lay-1.ogg,balance debit chip,vorbis,44100,2,172,4b2111252ccb64eed67f171e061053849cfbb29873536c03948646f244a3905c
balance.debit,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_debit_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/casino-audio/Audio/chip-lay-2.ogg,balance debit chip,vorbis,44100,2,230,8ca8b2d450741c04ed7b4ba51ed3f73c2400c8b3dbe83b974be4fe4774a76712
balance.credit,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_credit_v01.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/80_CC0_RPG_SFX/item_coins_01.ogg,balance credit coin,vorbis,48000,2,406,4e701b281a4f88768beccbe87af4574d13ac5a4bc5cab6c522f0e79823d6e428
balance.credit,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_credit_v02.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/80_CC0_RPG_SFX/item_coins_02.ogg,balance credit coin,vorbis,48000,2,616,c1124868c928ef06e9b95fd9bd314eb3aa9a2869cbfde7f5aadcc341fe3edca0
balance.credit,3,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_credit_v03.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/IgnisForge_43_CC0_SFX/coin_05.wav,balance credit coin,pcm_s16le,44100,1,198,beca6520c622fa97104f0de5a35dd9df2cf5b78fd51675ab78c92db3de29176b
balance.count.tick,1,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_count_tick_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/IgnisForge_43_CC0_SFX/coin_01.wav,balance count tick,pcm_s16le,44100,1,203,042e8fbf111ad101841a94ee713e2b90a06bdfd8bdbd77b311eee456d636ce69
balance.count.tick,2,01_RUNTIME_READY/audio/bet_and_balance/bsb_sfx_balance_count_tick_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/IgnisForge_43_CC0_SFX/blip_05.wav,balance count tick,pcm_s16le,44100,1,29,92515d738acd5aa7bbe69d06fe7f4e31a0536b55bd847d1faef653f18f0d66c5
spin.press.standard,1,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_press_standard_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-1.wav,spin start swish,pcm_s24le,44100,2,126,9a15c881345c1ce1c39cc31f52f081c8c4dc81fa41111e0079400f39d3ba0e45
spin.press.standard,2,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_press_standard_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-2.wav,spin start swish,pcm_s24le,44100,2,96,1ce7752cce3d43f16fc222ad7f7ffb69d9a5fc01e64b93d205765fc37b8e9b0d
spin.press.turbo,1,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_press_turbo_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-8.wav,spin turbo swish,pcm_s24le,44100,2,154,113a3709ad889ad2fcf38eaceaf4eb9d67ffe1e96713fed93a6f0aed08769980
spin.press.turbo,2,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_press_turbo_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-9.wav,spin turbo swish,pcm_s24le,44100,2,197,123883f006ce55feecbff11eea5f87c4493df4399989983037144570a23723c1
spin.quick.stop,1,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_quick_stop_v01.flac,02_SOURCE_LIBRARY_CC0/OpenGameArt/7_Mechanical_Clicks_CC0/mechanical/mechanical_clicks-01.flac,spin quick stop mechanical,flac,96000,2,634,4a823673791fca5a8bc5437bac95323594c0c5a51da37f90257359f39022137f
spin.quick.stop,2,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_spin_quick_stop_v02.flac,02_SOURCE_LIBRARY_CC0/OpenGameArt/7_Mechanical_Clicks_CC0/mechanical/mechanical_clicks-02.flac,spin quick stop mechanical,flac,96000,2,704,89cf42cb3766fe2893eaec806c8a205c0b337e7297ff526d11bbc1d2fcbd7e91
autoplay.start,1,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_autoplay_start_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/digital-audio/Audio/phaseJump1.ogg,autoplay start,vorbis,44100,2,470,c60069ed7108678dd6a1306404d168a93cc2575cda37b06add9dd6c4d46352a3
autoplay.start,2,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_autoplay_start_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/interface-sounds/Audio/confirmation_003.ogg,autoplay start,vorbis,44100,1,322,3091bf0be0497f825769ee0733ca7bdc3bcd59bd6c6e8f2ba8f93d580ff38022
autoplay.pause,1,01_RUNTIME_READY/audio/spin_controls/bsb_sfx_autoplay_pause_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/ui-audio/Audio/switch14.ogg,autoplay pause,vorbis,44100,2,33,c640b370738c816eda3d1196d8a8dda7130825b4094f3bb3cbba22a9f6f9b7c9
