source_id,local_scope,title,author,source_page,direct_download,license,license_url,retrieved_at,cc0_marker_verified,notes
kenney_casino_audio,Kenney/casino-audio,Casino Audio,Kenney,https://kenney.nl/assets/casino-audio,https://kenney.nl/media/pages/assets/casino-audio/2472606a04-1721639069/kenney_casino-audio.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_digital_audio,Kenney/digital-audio,Digital Audio,Kenney,https://kenney.nl/assets/digital-audio,https://kenney.nl/media/pages/assets/digital-audio/216eac4753-1677590265/kenney_digital-audio.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_impact_sounds,Kenney/impact-sounds,Impact Sounds,Kenney,https://kenney.nl/assets/impact-sounds,https://kenney.nl/media/pages/assets/impact-sounds/87b4ddecda-1677589768/kenney_impact-sounds.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_interface_sounds,Kenney/interface-sounds,Interface Sounds,Kenney,https://kenney.nl/assets/interface-sounds,https://kenney.nl/media/pages/assets/interface-sounds/fa43c1dd4d-1677589452/kenney_interface-sounds.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_music_jingles,Kenney/music-jingles,Music Jingles,Kenney,https://kenney.nl/assets/music-jingles,https://kenney.nl/media/pages/assets/music-jingles/f37e530b9e-1677590399/kenney_music-jingles.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_rpg_audio,Kenney/rpg-audio,RPG Audio,Kenney,https://kenney.nl/assets/rpg-audio,https://kenney.nl/media/pages/assets/rpg-audio/8e99002d76-1677590336/kenney_rpg-audio.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_scifi_sounds,Kenney/sci-fi-sounds,Sci-Fi Sounds,Kenney,https://kenney.nl/assets/sci-fi-sounds,https://kenney.nl/media/pages/assets/sci-fi-sounds/6b296f9ecf-1677589334/kenney_sci-fi-sounds.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_ui_audio,Kenney/ui-audio,UI Audio,Kenney,https://kenney.nl/assets/ui-audio,https://kenney.nl/media/pages/assets/ui-audio/490d233f68-1677590494/kenney_ui-audio.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_voiceover_pack,Kenney/voiceover-pack,Voiceover Pack,Kenney,https://kenney.nl/assets/voiceover-pack,https://kenney.nl/media/pages/assets/voiceover-pack/3f7f168698-1677589897/kenney_voiceover-pack.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
kenney_voiceover_fighter,Kenney/voiceover-pack-fighter,Voiceover Pack: Fighter,Kenney,https://kenney.nl/assets/voiceover-pack-fighter,https://kenney.nl/media/pages/assets/voiceover-pack-fighter/6ceb77c6f1-1677589837/kenney_voiceover-pack-fighter.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
